areaCode,areaName,category,originalAreaM2,jongnoAreaM2,jongnoOverlapRatio
POI002,동대문 관광특구,관광특구,610693,333,0.0005
POI003,명동 관광특구,관광특구,928286,647,0.0007
POI006,종로·청계 관광특구,관광특구,635582,634149,0.9977
POI008,경복궁,고궁·문화유산,444986,444986,1.0
POI009,광화문·덕수궁,고궁·문화유산,787381,477093,0.6059
POI010,보신각,고궁·문화유산,160150,160150,1.0
POI012,창덕궁·종묘,고궁·문화유산,1106283,1106283,1.0
POI024,동대문역,인구밀집지역,196835,196693,0.9993
POI054,혜화역,인구밀집지역,212007,212007,1.0
POI060,광장(전통)시장,발달상권,63312,63309,1.0
POI064,덕수궁길·정동길,발달상권,97662,5718,0.0586
POI066,북촌한옥마을,발달상권,1125402,1125402,1.0
POI067,서촌,발달상권,613437,613437,1.0
POI078,인사동,발달상권,340493,340493,1.0
POI088,광화문광장,공원,138676,138676,1.0
POI116,익선동,발달상권,183976,183976,1.0
POI124,서대문독립공원,공원,140896,8694,0.0617
POI129,송현녹지광장,공원,294920,294920,1.0
POI130,시의회 앞,인구밀집지역,148554,23866,0.1607
